Date,AirParif_pm10,AirParif_pm2p5,Copernicus_pm10,Copernicus_pm2p5
2020-01-09,23.8,7.963636363636363,12.476818181818182,4.857272727272727
2020-01-10,12.25,6.895833333333333,18.830833333333334,15.625
2020-01-11,4.9125000000000005,2.254166666666667,29.809583333333332,23.4375
2020-01-12,15.833333333333334,8.762500000000001,17.227083333333333,7.6312500000000005
2020-02-09,28.040000000000003,11.193333333333333,11.491333333333333,5.676
2020-02-10,10.5,6.841666666666666,22.685000000000002,16.383333333333333
2020-02-11,8.466666666666667,2.8249999999999997,24.43541666666667,19.673750000000002
2020-02-12,18.075,9.766666666666667,23.06375,12.080416666666666
2020-03-09,24.27857142857143,8.985714285714286,10.947142857142856,6.67
2020-03-10,10.075000000000001,5.1000000000000005,15.385833333333332,10.74875
2020-03-11,13.605555555555556,4.705555555555556,27.676111111111112,20.281666666666666
2020-03-12,10.391666666666667,7.3625,11.425416666666665,8.298333333333334
2020-04-09,15.6,5.2875,11.81875,7.1225000000000005
2020-04-10,8.4625,3.8166666666666664,20.512083333333333,14.821666666666667
2020-04-11,18.52,12.52,16.694,10.303999999999998
2020-04-12,6.968181818181819,4.2727272727272725,9.462727272727273,5.846818181818182
2020-05-09,14.99,3.97,10.475,6.294
2020-05-10,6.3125,2.954166666666667,20.401666666666667,16.27875
2020-05-11,21.629166666666666,14.629166666666668,11.102083333333333,7.109166666666667
2020-05-12,8.279166666666667,6.704166666666667,9.11125,6.4725
2020-06-09,14.466666666666667,3.8333333333333335,12.365,7.478333333333333
2020-06-10,9.025,4.216666666666667,14.79875,11.804166666666667
2020-06-11,21.141666666666666,14.987499999999999,14.768333333333333,8.468333333333334
2020-06-12,12.6625,11.520833333333334,17.47375,13.65375
2020-07-09,23.963636363636365,7.363636363636363,9.827272727272726,6.925454545454546
2020-07-10,9.950000000000001,4.7124999999999995,14.647083333333333,9.149583333333334
2020-07-11,23.15416666666667,17.641666666666666,13.832500000000001,7.2625
2020-07-12,27.768181818181816,23.286363636363635,29.33772727272727,22.981363636363636
2020-08-09,28.066666666666666,11.266666666666666,17.766666666666666,12.926666666666668
2020-08-10,12.391666666666666,6.345833333333334,15.560833333333333,12.621250000000002
2020-08-11,15.766666666666666,11.329166666666666,10.045416666666666,6.737916666666667
2020-08-12,20.963636363636365,16.59090909090909,25.311818181818182,20.282727272727275
2020-09-09,27.575,14.8125,14.5025,10.125
2020-09-10,9.841666666666667,5.554166666666667,13.813333333333333,10.321250000000001
2020-09-11,23.125,14.579166666666666,12.128333333333332,8.265416666666667
2020-09-12,25.129166666666666,20.579166666666666,26.535,18.673750000000002
2020-09-13,14.833333333333334,7.133333333333333,26.366666666666664,20.666666666666668
2020-09-14,39.400000000000006,16.311111111111114,13.277777777777779,10.38
2020-09-15,46.019999999999996,17.84,11.447,6.928
2020-09-16,46.089999999999996,22.66,12.196,8.059999999999999
2020-09-17,31.718181818181815,13.759090909090908,11.947727272727274,9.633181818181818
2020-09-18,31.55,13.069999999999999,8.545,4.519
2020-09-19,30.566666666666666,18.486666666666668,6.256666666666666,3.963333333333333
2020-09-20,24.521428571428572,16.407142857142855,12.735,5.2664285714285715
2020-09-21,40.45882352941176,18.370588235294118,13.354117647058825,5.939411764705882
2020-09-22,47.352631578947374,24.178947368421053,15.946842105263158,6.451578947368421
2020-09-23,15.442857142857141,10.035714285714286,13.236428571428572,6.222857142857143
2020-09-24,12.483333333333334,6.291666666666667,12.784999999999998,7.792083333333333
2020-09-25,11.929166666666667,6.141666666666667,13.349583333333333,9.24875
2020-09-26,15.591666666666667,6.7875000000000005,6.521666666666667,4.02875
2020-09-27,11.445833333333333,7.754166666666666,10.19125,4.826666666666667
2020-09-28,9.054166666666667,8.095833333333333,16.250416666666666,8.450416666666667
2020-09-29,10.814285714285715,11.799999999999999,21.645714285714288,13.40857142857143
2020-09-30,13.391666666666666,7.5249999999999995,16.288333333333334,12.174999999999999
2020-10-09,25.57,9.95,17.275,13.803
2020-10-10,10.387500000000001,4.591666666666667,12.849583333333333,6.984999999999999
2020-10-11,16.420833333333334,10.612499999999999,12.865833333333333,8.960416666666667
2020-10-12,14.5375,10.25,16.47125,10.20875
2020-10-13,9.729166666666666,5.758333333333333,14.284583333333332,10.545
2020-10-14,16.458333333333332,10.825000000000001,13.40375,5.825
2020-10-15,17.154166666666665,9.45,20.282500000000002,14.370416666666666
2020-10-16,19.183333333333334,12.354166666666666,17.340416666666666,11.667083333333332
2020-10-17,26.141666666666666,19.254166666666666,22.873333333333335,18.425833333333333
2020-10-18,24.900000000000002,17.779166666666665,24.076666666666668,18.070416666666667
2020-10-19,27.875,19.516666666666666,27.829166666666666,20.649166666666666
2020-10-20,16.1375,10.083333333333334,31.36583333333333,22.328333333333333
2020-10-21,14.416666666666666,5.8500000000000005,50.15416666666667,36.18666666666667
2020-10-22,17.979166666666668,8.1875,46.28875,32.54708333333333
2020-10-23,13.875,6.9875,34.31,24.59958333333333
2020-10-24,9.012500000000001,3.8041666666666667,26.342916666666667,22.360416666666666
2020-10-25,6.836363636363637,3.8954545454545455,35.73318181818182,29.49
2020-10-26,12.163636363636364,4.7318181818181815,17.69181818181818,7.69
2020-10-27,10.029166666666667,4.925,23.06375,12.080416666666666
2020-10-28,13.033333333333333,4.870833333333334,11.425416666666665,8.298333333333334
2020-10-29,12.822727272727274,5.945454545454546,8.974545454545455,5.674545454545455
2020-10-30,11.458333333333334,5.3999999999999995,9.11125,6.4725
2020-10-31,12.362499999999999,7.783333333333334,17.47375,13.65375
